dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,tcprtt,smean,trans_depth,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_flw_http_mthd,is_sm_ips_ports
0,tcp,http,CON,10,6,1989,2683,3.330509,3181.302246,3971.74292,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,http,CON,4,3,588,488,9646.301758,5672025.5,4192926.0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0
0,tcp,http,FIN,2,1,132,66,6825.938965,1802047.875,0.0,0,0,0,0,0.0,0.0,0,0,0,2,1,0,0,0
0,tcp,http,FIN,2,1,132,66,6756.756348,1783783.75,0.0,0,0,0,0,0.0,0.0,0,0,0,3,1,0,0,0
0,tcp,http,CON,4,3,656,1046,18.680067,12254.124023,17384.916016,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0
0,tcp,http,FIN,2,1,132,66,8264.462891,2181818.25,0.0,0,0,0,0,0.0,0.0,0,0,0,5,1,0,0,0
0,tcp,http,CON,4,3,655,910,52.723614,34586.691406,42670.976562,0,0,0,0,0.0,0.0,0,0,0,6,0,0,0,0
0,tcp,http,FIN,2,1,132,66,7142.856934,1885714.25,0.0,0,0,0,0,0.0,0.0,0,0,0,7,1,0,0,0
0,tcp,http,CON,4,3,1510,430,4181.18457,6316376.5,1600000.0,0,0,0,0,0.0,0.0,0,0,0,8,0,0,0,0
0,tcp,http,FIN,2,1,132,66,5235.602051,1382199.0,0.0,0,0,0,0,0.0,0.0,0,0,0,9,1,0,0,0
0,tcp,http,CON,4,3,1508,436,4905.96875,7398201.0,1903516.0,0,0,0,0,0.0,0.0,0,0,0,10,0,0,0,0
0,tcp,http,FIN,2,1,132,66,7194.244629,1899280.625,0.0,0,0,0,0,0.0,0.0,0,0,0,11,1,0,0,0
0,tcp,http,CON,4,3,622,698,1865.671631,1161691.5,1159204.0,0,0,0,0,0.0,0.0,0,0,0,12,0,0,0,0
0,tcp,http,FIN,2,1,132,66,5405.405273,1427027.0,0.0,0,0,0,0,0.0,0.0,0,0,0,13,1,0,0,0
0,tcp,http,CON,4,3,616,698,1757.469238,1082601.125,1091974.25,0,0,0,0,0.0,0.0,0,0,0,14,0,0,0,0
0,tcp,http,FIN,2,1,132,66,7905.138184,2086956.5,0.0,0,0,0,0,0.0,0.0,0,0,0,15,1,0,0,0
0,tcp,http,CON,4,3,615,698,6.725854,4143.125977,4178.997559,0,0,0,0,0.0,0.0,0,0,0,16,0,0,0,0
0,tcp,http,FIN,2,1,132,66,6006.005859,1585585.625,0.0,0,0,0,0,0.0,0.0,0,0,0,17,1,0,0,0
0,tcp,http,CON,7,5,1485,2081,141.840317,131318.34375,171755.734375,0,0,0,0,0.0,0.0,0,0,0,18,0,0,0,0
0,tcp,http,CON,4,3,581,706,8021.390625,4663101.5,5037433.0,0,0,0,0,0.0,0.0,0,0,0,19,0,0,0,0
0,tcp,http,CON,4,3,583,800,12170.384766,7107504.5,8665314.0,0,0,0,0,0.0,0.0,0,0,0,20,0,0,0,0
0,tcp,http,FIN,2,1,132,66,4866.180176,1284671.625,0.0,0,0,0,0,0.0,0.0,0,0,0,21,1,0,0,0
0,tcp,http,FIN,2,1,132,66,4926.108398,1300492.625,0.0,0,0,0,0,0.0,0.0,0,0,0,22,1,0,0,0
0,tcp,http,FIN,2,1,132,66,5555.555664,1466666.625,0.0,0,0,0,0,0.0,0.0,0,0,0,23,1,0,0,0
0,tcp,http,CON,3,2,620,140,9.412496,7793.546387,1317.74939,0,0,0,0,0.0,0.0,0,0,0,24,0,0,0,0
0,tcp,\x2d,CON,6,5,470,345,2.101209,658.939148,463.94696,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,\x2d,CON,2,3,276,207,15094.338867,4166037.5,4166037.5,0,0,0,0,0.0,0.0,0,0,0,1,1,0,0,0
0,tcp,http,CON,1,1,66,66,10204.082031,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,25,1,0,0,0
0,tcp,http,CON,1,1,66,66,9900.990234,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,26,2,0,0,0
0,tcp,http,CON,1,1,66,66,6944.444336,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,27,3,0,0,0
0,tcp,\x2d,CON,1,2,98,136,21978.021484,0.0,5978022.0,0,0,0,0,0.0,0.0,0,0,0,2,2,0,0,0
0,tcp,\x2d,CON,2,3,141,207,16597.509766,2356846.5,4580913.0,0,0,0,0,0.0,0.0,0,0,0,3,3,0,0,0
0,tcp,http,CON,1,1,66,66,10869.56543,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,28,4,0,0,0
0,tcp,http,CON,1,1,66,66,7874.015137,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,29,5,0,0,0
0,tcp,http,CON,1,1,66,66,10204.082031,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,30,6,0,0,0
0,tcp,\x2d,CON,3,3,3090,214,15873.015625,52317460.0,3631746.0,0,0,0,0,0.0,0.0,0,0,0,4,4,0,0,0
0,tcp,http,FIN,5,4,500,470,902.120056,360848.0,318448.375,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0
0,tcp,\x2d,CON,65,67,4573,4476,13871.240234,3814485.25,3735705.25,0,0,0,0,0.0,0.0,0,0,0,5,5,0,0,0
0,tcp,http,CON,6,4,1169,1418,163.407593,141619.90625,154547.265625,0,0,0,0,0.0,0.0,0,0,0,31,0,0,0,0
0,tcp,http,CON,4,3,632,706,6849.31543,4328767.0,4301370.0,0,0,0,0,0.0,0.0,0,0,0,32,0,0,0,0
0,tcp,http,CON,4,3,634,800,8032.128906,5097724.5,5718875.5,0,0,0,0,0.0,0.0,0,0,0,33,0,0,0,0
0,tcp,http,FIN,1,2,66,132,41666.664062,0.0,11000000.0,0,0,0,0,0.0,0.0,0,0,0,34,1,0,0,0
0,tcp,http,FIN,1,2,66,132,31746.03125,0.0,8380952.5,0,0,0,0,0.0,0.0,0,0,0,35,1,0,0,0
0,tcp,http,FIN,1,2,66,132,15748.030273,0.0,4157480.0,0,0,0,0,0.0,0.0,0,0,0,36,1,0,0,0
